best_steps,combo,cond_frac,cond_mode,dataset,err_both,err_global_only,err_local_only,global,global_lift,local,local_lift,modality,n_params,ordered,scale,seed,train_loss,train_s
16,fixed+none,0.3,random,cml_lattice,0.6357661233247484,nan,0.6357661233247484,none,1.0,fixed,nan,chaos,12983,True,1.5729,1,0.00640599071894857,76.0
8,fixed+none,0.3,block,cml_lattice,0.9685562038477632,nan,0.9685562038477632,none,1.0,fixed,nan,chaos,12983,True,1.5729,1,0.00640599071894857,76.0
16,fixed+none,0.6,random,cml_lattice,0.8095046445310471,nan,0.8095046445310471,none,1.0,fixed,nan,chaos,12983,True,1.5729,1,0.00640599071894857,76.0
16,fixed+pooled,0.3,random,cml_lattice,0.634608099877552,1.022250731122387,0.7027961395419552,pooled,1.1074490534828663,fixed,1.610837824666327,chaos,12922,True,1.0104,1,0.0064797560811381445,90.7
16,fixed+pooled,0.3,block,cml_lattice,0.968130593693898,1.0165122706405807,1.001284590657741,pooled,1.0342453767908977,fixed,1.049974329147148,chaos,12922,True,1.0104,1,0.0064797560811381445,90.7
16,fixed+pooled,0.6,random,cml_lattice,0.8033041724150326,1.017744744429176,0.859182374698049,pooled,1.069560453190509,fixed,1.2669481615780172,chaos,12922,True,1.0104,1,0.0064797560811381445,90.7
16,fixed+attention,0.3,random,cml_lattice,0.6374777967758873,1.0229249905858737,0.6955003582473117,attention,1.0910189527617742,fixed,1.6046441080135294,chaos,12986,True,0.9687,1,0.006520644317127087,123.5
16,fixed+attention,0.3,block,cml_lattice,0.9687777568624423,1.0168978560518913,0.9996547452228844,attention,1.0318721070356145,fixed,1.0496709372697557,chaos,12986,True,0.9687,1,0.006520644317127087,123.5
16,fixed+attention,0.6,random,cml_lattice,0.8056670373044712,1.018340362328255,0.8556146186102633,attention,1.0619953144327492,fixed,1.263971734198444,chaos,12986,True,0.9687,1,0.006520644317127087,123.5
16,fixed+spectral,0.3,random,cml_lattice,0.6450102767172751,1.0555458342492372,0.6693592282707707,spectral,1.0377497110238576,fixed,1.6364790955290633,chaos,12613,True,0.9687,1,0.006484246283600276,82.6
16,fixed+spectral,0.3,block,cml_lattice,0.9673539282253669,1.0447819178312645,0.9816150077635999,spectral,1.0147423596701521,fixed,1.080041014303773,chaos,12613,True,0.9687,1,0.006484246283600276,82.6
16,fixed+spectral,0.6,random,cml_lattice,0.8091794801922756,1.0484154594549677,0.8279619268478559,spectral,1.0232117189268284,fixed,1.2956525531342507,chaos,12613,True,0.9687,1,0.006484246283600276,82.6
16,fixed+tokenmix,0.3,random,cml_lattice,0.6486224064066157,1.0367624232543358,0.6664461594354664,tokenmix,1.0274793976476926,fixed,1.5984067355890854,chaos,12936,True,1.2734,1,0.0064968230329792605,111.4
16,fixed+tokenmix,0.3,block,cml_lattice,0.9689779066980306,1.0288193411328375,0.9714500067348426,tokenmix,1.0025512449971496,fixed,1.0617572743621446,chaos,12936,True,1.2734,1,0.0064968230329792605,111.4
8,fixed+tokenmix,0.6,random,cml_lattice,0.8100098632614269,1.0685778857162822,0.8198416417201787,tokenmix,1.0121378502962484,fixed,1.319215893759313,chaos,12936,True,1.2734,1,0.0064968230329792605,111.4
16,graph+none,0.3,random,cml_lattice,0.6259480373660424,nan,0.6259480373660424,none,1.0,graph,nan,chaos,12979,True,1.7734,1,0.006165590729903091,91.1
16,graph+none,0.3,block,cml_lattice,0.964059528286916,nan,0.964059528286916,none,1.0,graph,nan,chaos,12979,True,1.7734,1,0.006165590729903091,91.1
16,graph+none,0.6,random,cml_lattice,0.7943411224105467,nan,0.7943411224105467,none,1.0,graph,nan,chaos,12979,True,1.7734,1,0.006165590729903091,91.1
16,graph+pooled,0.3,random,cml_lattice,0.6300427101397765,1.0350491509262292,0.6698656412359953,pooled,1.0632067167119257,graph,1.6428237868137558,chaos,13131,True,1.0547,1,0.006345944542607123,110.7
16,graph+pooled,0.3,block,cml_lattice,0.9669513982870219,1.0346462911011944,1.0400943355928565,pooled,1.0756428269667007,graph,1.0700085784395117,chaos,13131,True,1.0547,1,0.006345944542607123,110.7
16,graph+pooled,0.6,random,cml_lattice,0.7985126390168356,1.031964839935247,0.8585949145666724,pooled,1.0752427358242103,graph,1.2923588049975618,chaos,13131,True,1.0547,1,0.006345944542607123,110.7
16,graph+attention,0.3,random,cml_lattice,0.6290643138331203,1.0669237050628677,0.6857177184080042,attention,1.090059797272037,graph,1.6960486894602382,chaos,14030,True,0.9844,1,0.0063214811115441,170.9
16,graph+attention,0.3,block,cml_lattice,0.9662067362597563,1.0631155225987998,1.0532065631703993,attention,1.0900426623472161,graph,1.1002981895098178,chaos,14030,True,0.9844,1,0.0063214811115441,170.9
16,graph+attention,0.6,random,cml_lattice,0.8006753267098748,1.070261489683054,0.8743157511514977,attention,1.0919728908647968,graph,1.3366984768732155,chaos,14030,True,0.9844,1,0.0063214811115441,170.9
16,graph+spectral,0.3,random,cml_lattice,0.631780244654625,1.0635919629718384,0.6616615848395577,spectral,1.0472970474112686,graph,1.6834840468195895,chaos,12992,True,1.0078,1,0.006310119547627189,138.7
8,graph+spectral,0.3,block,cml_lattice,0.9675838014827701,1.150633752979328,1.0063907977323254,spectral,1.040107116499972,graph,1.189182529943188,chaos,12992,True,1.0078,1,0.006310119547627189,138.7
16,graph+spectral,0.6,random,cml_lattice,0.7984189633062925,1.0619298763628002,0.8455824724408051,spectral,1.059071128445154,graph,1.330040899786869,chaos,12992,True,1.0078,1,0.006310119547627189,138.7
16,graph+tokenmix,0.3,random,cml_lattice,0.6269753718311697,1.0599120006622742,0.648159325131118,tokenmix,1.0337875365631628,graph,1.6905161642420694,chaos,13080,True,1.3594,1,0.006264760180122473,147.2
8,graph+tokenmix,0.3,block,cml_lattice,0.9696126595509202,1.1479993746976191,0.9820868460855949,tokenmix,1.0128651234199564,graph,1.1839772958712393,chaos,13080,True,1.3594,1,0.006264760180122473,147.2
16,graph+tokenmix,0.6,random,cml_lattice,0.8012164554812153,1.0572317793911037,0.8209213735363794,tokenmix,1.024593751064847,graph,1.319533282371396,chaos,13080,True,1.3594,1,0.006264760180122473,147.2
16,depthwise+none,0.3,random,cml_lattice,0.6370434186462564,nan,0.6370434186462564,none,1.0,depthwise,nan,chaos,12948,True,3.0703,1,0.006580086975273761,96.8
16,depthwise+none,0.3,block,cml_lattice,0.9728746118476568,nan,0.9728746118476568,none,1.0,depthwise,nan,chaos,12948,True,3.0703,1,0.006580086975273761,96.8
16,depthwise+none,0.6,random,cml_lattice,0.8072008615355415,nan,0.8072008615355415,none,1.0,depthwise,nan,chaos,12948,True,3.0703,1,0.006580086975273761,96.8
16,depthwise+pooled,0.3,random,cml_lattice,0.6524956237536391,1.1879692190078817,0.6499912530853574,pooled,0.9961618582912868,depthwise,1.8206546921706555,chaos,12937,True,1.1458,1,0.006452815628356554,97.8
16,depthwise+pooled,0.3,block,cml_lattice,0.968827964953097,1.189936443865159,0.9698431949837465,pooled,1.001047895051934,depthwise,1.2282226431426,chaos,12937,True,1.1458,1,0.006452815628356554,97.8
8,depthwise+pooled,0.6,random,cml_lattice,0.8171660450755436,1.2268854010465857,0.8174674871846302,pooled,1.0003688872180914,depthwise,1.501390578377697,chaos,12937,True,1.1458,1,0.006452815628356554,97.8
16,depthwise+attention,0.3,random,cml_lattice,0.6496898860303966,1.1221601456834813,0.681034482806933,attention,1.048245474418652,depthwise,1.727224280094426,chaos,12914,True,1.0234,1,0.006613751831041141,163.8
16,depthwise+attention,0.3,block,cml_lattice,0.9731220198628249,1.1278752655952076,0.9799381155881004,attention,1.007004358740373,depthwise,1.1590275860309864,chaos,12914,True,1.0234,1,0.006613751831041141,163.8
16,depthwise+attention,0.6,random,cml_lattice,0.8180494209096643,1.1171711083641025,0.8391834619714007,attention,1.0258346751694238,depthwise,1.3656523430110339,chaos,12914,True,1.0234,1,0.006613751831041141,163.8
16,depthwise+spectral,0.3,random,cml_lattice,0.6579563238703925,1.0769427715673419,0.6595245093145619,spectral,1.0023834187578662,depthwise,1.6367997882173764,chaos,12705,True,1.05,1,0.007079395232722163,131.7
16,depthwise+spectral,0.3,block,cml_lattice,0.9707721500661111,1.0766584186965809,0.9745675102231484,spectral,1.003909630243079,depthwise,1.1090742751769906,chaos,12705,True,1.05,1,0.007079395232722163,131.7
16,depthwise+spectral,0.6,random,cml_lattice,0.8221391432525804,1.0757304780732755,0.8262988191129498,spectral,1.0050595764652595,depthwise,1.3084530604119233,chaos,12705,True,1.05,1,0.007079395232722163,131.7
16,depthwise+tokenmix,0.3,random,cml_lattice,0.6375049090172026,1.023463707057948,0.7133698394430321,tokenmix,1.1190028960604952,depthwise,1.605420903559396,chaos,12896,True,1.6484,1,0.006484004711224275,186.0
8,depthwise+tokenmix,0.3,block,cml_lattice,0.9723129990642931,1.092862085566039,1.007482601273401,tokenmix,1.0361710706767815,depthwise,1.123981769880436,chaos,12896,True,1.6484,1,0.006484004711224275,186.0
