arch,dataset,frac_affected_final,frac_affected_step1,frac_curve,global_share_final,global_share_mean,has_global,knockout_ratio,memory_ratio,modality,n_cells,n_params,nrmse_global_off,nrmse_global_on,nrmse_intact,nrmse_wiped,ordered,radius_curve,radius_step1,scale,seed,steps_to_cover
A1_local,cml_lattice,0.453125,0.046875,0.0469;0.0781;0.1094;0.1406;0.1719;0.2031;0.2344;0.2500;0.2656;0.2812;0.2812;0.3125;0.3125;0.3125;0.3125;0.3438;0.3438;0.3438;0.3594;0.3594;0.3750;0.3750;0.4062;0.4062;0.4219;0.4219;0.4219;0.4375;0.4531;0.4531;0.4531;0.4531,0.0,0.0,False,1.0,1.0692061899691803,chaos,64,13215,0.625328276433758,0.625328276433758,0.6338323908106176,0.6776975156576769,True,1;2;3;4;5;6;7;8;8;9;9;10;10;10;10;11;11;11;12;12;12;12;13;13;14;14;14;15;15;15;15;15,1.0,0.7422,0,nan
A1_local,cml_lattice,0.359375,0.046875,0.0469;0.0781;0.1094;0.1406;0.1719;0.2031;0.2344;0.2656;0.2812;0.2969;0.2969;0.2969;0.3125;0.3125;0.3125;0.3125;0.3281;0.3281;0.3438;0.3438;0.3438;0.3594;0.3594;0.3594;0.3594;0.3594;0.3750;0.3750;0.3594;0.3750;0.3750;0.3594,0.0,0.0,False,1.0,1.3656155014779439,chaos,64,13215,0.6177712689477619,0.6177712689477619,0.7907232598463972,1.0798239410254122,True,1;2;3;4;5;6;7;8;9;9;9;9;10;10;10;10;11;11;11;11;11;11;11;11;11;11;12;12;12;13;13;12,1.0,0.7422,2,nan
A2_pooled,cml_lattice,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.310528689930946,0.32728511116346753,True,1.014370836059741,1.0298831019175898,chaos,64,13046,0.6499414856933096,0.6407336080539991,0.7056665074291745,0.7267540115905101,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.6133,1,1
A3_attentive,cml_lattice,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9844;1.0000,1.7567880406536456,1.5696107861754722,True,1.590180042403755,0.7609896594062435,chaos,64,13163,1.0575330591662009,0.6650398262875995,0.9249338516448746,0.7038650967365381,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.5547,0,1
A3_attentive,cml_lattice,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,1.3314158816355792,1.1667491145482003,True,1.5833994476518884,0.855942612350883,chaos,64,13163,0.985807726631245,0.6225894091937157,0.7475664019205523,0.6398739389656277,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.5547,2,1
A4_interleaved,cml_lattice,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.12189505000613886,0.12316262346525494,True,0.9940181725530398,1.1393014836916255,chaos,64,12795,0.624676160532395,0.6284353523718531,0.7525513647926599,0.8573828864624352,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.5859,1,1
A1_local,cml_timewindow,0.296875,0.046875,0.0469;0.0781;0.1094;0.1406;0.1406;0.1562;0.1562;0.1719;0.1719;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.2031;0.2188;0.2188;0.2188;0.2188;0.2188;0.2344;0.2500;0.2500;0.2500;0.2656;0.2656;0.2656;0.2656;0.2812;0.2969;0.2969,0.0,0.0,False,1.0,1.639964496897644,chaos,64,13215,0.3550909395376796,0.3550909395376796,0.43403401061243185,0.7118003678504834,True,1;2;3;4;4;5;5;5;5;6;6;6;6;6;6;6;7;7;7;7;7;8;8;8;8;9;9;9;9;10;10;10,1.0,0.7422,0,nan
A1_local,cml_timewindow,0.21875,0.046875,0.0469;0.0781;0.1094;0.1250;0.1406;0.1562;0.1562;0.1562;0.1562;0.1719;0.1719;0.1719;0.1719;0.1719;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.2031;0.2031;0.2031;0.2031;0.2031;0.2031;0.2031;0.2188,0.0,0.0,False,1.0,1.7980446184829528,chaos,64,13215,0.36686754696877416,0.36686754696877416,0.39496703910989023,0.7101683591496841,True,1;2;3;4;4;5;5;5;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;7;7;7;7;7;7;7;7,1.0,0.7422,2,nan
A2_pooled,cml_timewindow,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.2409740968786528,0.23715067788387637,True,0.8920103244279199,0.7338628821888227,chaos,64,13046,0.3675149309939773,0.41200748570895585,0.9524145362241792,0.698941676592007,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.6133,1,1
A3_attentive,cml_timewindow,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.9056378606066662,0.9767700704653182,True,3.452872688054526,1.115823786781208,chaos,64,13163,1.4267886353358408,0.4132178519850801,0.6094335849291694,0.6800204905273127,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.5547,0,1
